cgid	median
cg21807034	0.873458014
cg09698465	0.25963371
cg17754510	0.189320913
cg12749132	0.090105396
cg21472506	0.258198204
cg02837536	0.388532718
cg14175690	0.417127077
cg06249604	0.23399405
cg03184290	0.322412655
cg25718467	0.320161448
cg26547698	0.301718907
cg22846334	0.38105752
cg20381372	0.754757226
cg01697719	0.252232918
cg04737131	0.232091266
cg15794987	0.689475833
cg01774894	0.422137792
cg04470054	0.37174469
cg04635642	0.481136175
cg07974511	0.360581966
cg27234864	0.191837212
cg24816460	0.437213428
cg09799983	0.27446849
cg20383624	0.840246179
cg22876812	0.161450316
cg13832669	0.493037934
cg02367850	0.134116412
cg17698295	0.164278239
cg21015022	0.599012408
cg18641463	0.775169821
cg05224741	0.125899809
cg12515402	0.972647132
cg16399136	0.244039434
cg12652780	0.757156334
cg24879782	0.453188919
cg21229570	0.587019854
cg25622366	0.324899347
cg07382347	0.315114474
cg16551732	0.395218684
cg23229261	0.241620353
cg02090742	0.03529896
cg14262681	0.060071249
cg17301223	0.218713812
cg08703872	0.283220123
cg01074657	0.492121659
cg06862374	0.073682606
cg11795854	0.394015638
cg03070236	0.492664117
cg19200589	0.078951097
cg22072375	0.110638185
cg06833110	0.765290859
cg21995304	0.304945667
cg26818625	0.38201894
cg14931854	0.293580212
cg21026830	0.304150436
cg08190858	0.203945195
cg01916088	0.726225641
cg19082708	0.200912053
cg13990351	0.236728144
cg10122865	0.324091936
cg25763036	0.188042269
cg12014181	0.621532263
cg20386316	0.49386483
cg08382235	0.267214139
cg25577322	0.036633687
cg00295794	0.267276196
cg18456523	0.025597424
cg05942459	0.489803248
cg04654530	0.374534225
cg21101720	0.307374033
cg03995122	0.042922112
cg06888746	0.69194515
cg23279522	0.553430001
cg26962618	0.369917565
cg22009488	0.161326508
cg23325963	0.546531109
cg14029489	0.190507721
cg22635676	0.637902721
cg16707227	0.602930016
cg20232662	0.382450978
cg00989853	0.198567504
cg18091469	0.157597355
cg05825244	0.587990029
cg22524061	0.556930257
cg00066748	0.771904942
cg10168149	0.331371617
cg18438793	0.209648009
cg13944468	0.254781857
cg15425541	0.546902903
cg07834574	0.081766908
cg12589143	0.256921565
cg11552829	0.718957669
cg09322259	0.343142242
cg14204784	0.389838101
cg12436377	0.145501441
cg12245706	0.684381462
cg09860529	0.80181606
cg15892785	0.063939342
cg17390350	0.37764666
cg08086720	0.41079064
cg22877570	0.304166996
cg09780241	0.156079818
cg16126286	0.398778906
cg03130248	0.737269282
cg17639394	0.224439963
cg07184578	0.469426308
cg13446474	0.451548572
cg25923609	0.530509235
cg19403541	0.180398346
cg22198853	0.577908856
cg11616651	0.256796165
cg16283362	0.115398225
cg05690644	0.390929871
cg22480783	0.399426349
cg04228083	0.722819312
cg10967023	0.319789833
cg13180315	0.563762379
cg13453904	0.210152698
cg14196395	0.722195883
cg13401893	0.521399472
cg25650964	0.357883727
cg00498591	0.081342915
cg14527262	0.784106221
cg14765959	0.11547022
cg22367191	0.387572996
cg04707332	0.541400062
cg19113686	0.646544326
cg24425838	0.221661312
cg03989711	0.731783969
cg27317046	0.45856294
cg19486070	0.683356271
cg22821289	0.69903765
cg03078363	0.363432947
cg13185413	0.29554017
cg21045464	0.350955723
cg23928165	0.071449587
cg22986569	0.621456005
cg26783057	0.156380623
cg24369185	0.208090376
cg03239552	0.28881514
cg07580591	0.411906095
cg11770080	0.080219005
cg18249580	0.176869367
cg13916459	0.527170546
cg26718878	0.184444653
cg14701108	0.414635795
cg24139898	0.275963531
cg17386213	0.419984929
cg26479374	0.662548413
cg23543318	0.594101439
cg00459623	0.088389914
cg11357746	0.30611314
cg17705066	0.71025859
cg10923662	0.433995957
cg03582419	0.798416222
cg13294849	0.104587111
cg14449180	0.122995472
cg09323788	0.785092121
cg19052042	0.759931205
cg22369786	0.55259577
cg16823466	0.85428299
cg00839579	0.304524465
cg22505411	0.860715322
cg26212328	0.610026535
cg05014727	0.384327129
cg24685006	0.322289078
cg10471574	0.699788209
cg14188106	0.523067762
cg01889143	0.124833981
cg10703826	0.450362806
cg10626816	0.452542801
cg10017293	0.636746787
cg24714106	0.126125965
cg02155398	0.484018205
cg07681935	0.320001238
cg06223834	0.556496761
cg04156293	0.347177471
cg08466792	0.182253561
cg17542408	0.389493203
cg03146625	0.529654072
cg16560389	0.653361642
cg27520776	0.321776037
cg23709617	0.655949809
cg14507337	0.309745675
cg05398903	0.383132856
cg07489502	0.422818566
cg09670128	0.19906436
cg24345062	0.475374487
cg18794404	0.273465046
cg12162138	0.215873354
cg16192707	0.15266649
cg19192280	0.661670136
cg16269733	0.268519
cg13742526	0.357948767
cg22331159	0.619201642
cg15292765	0.523513352
cg14688579	0.159676766
cg24368383	0.228534536
cg04401986	0.24916368
cg23244910	0.287016806
cg16234557	0.526346331
cg14979301	0.184660619
cg12374721	0.321720922
cg00097146	0.147434348
cg05091238	0.48685182
cg22058452	0.609564901
cg00108351	0.266147073
cg14841828	0.419318756
cg10792302	0.533544265
cg17543488	0.489437886
cg05955675	0.177275862
cg04520169	0.650578908
cg20311673	0.586142707
cg18782604	0.207395604
cg07835424	0.336318795
cg07366506	0.551033894
cg00436496	0.375694279
cg00857907	0.433890989
cg03352106	0.628367378
cg12836959	0.591226757
cg18063312	0.582483874
cg00103771	0.405946982
cg16086559	0.396366087
cg10864200	0.636157058
cg08782022	0.404237189
cg10930308	0.368306725
cg24884142	0.465206547
cg14557288	0.621670749
cg01641792	0.136772892
cg20168806	0.142157072
cg01992382	0.407539158
cg22698272	0.41665157
cg13078381	0.312684174
cg00334063	0.642068995
cg18372607	0.29624313
cg09787504	0.856525163
cg14071579	0.327470301
cg25105522	0.502316403
cg03807298	0.401229703
cg00164949	0.274063544
cg20291436	0.170893886
cg20272979	0.683685284
cg04360793	0.47818173
cg07861448	0.497365175
cg18502142	0.621749946
cg07524919	0.572537985
cg06518838	0.752564907
cg26256263	0.357581144
cg14433497	0.109219855
cg18888655	0.118687016
cg03306486	0.038534598
cg10055501	0.422610453
cg09969277	0.179323788
cg21210224	0.074632072
cg16026813	0.666812998
cg23735712	0.297270817
cg26000619	0.434124268
cg15613420	0.309931258
cg20935165	0.323665081
cg05651243	0.602595674
cg24169669	0.176315129
cg13044675	0.497776038
cg04209913	0.614131331
cg05482942	0.180391923
cg25210835	0.46793096
cg09224689	0.193075216
cg05116002	0.749691257
cg21627409	0.326109586
cg19711530	0.515314234
cg16581738	0.881892655
cg00332802	0.819736658
cg26490671	0.67801103
cg21635870	0.504288663
cg14769786	0.109737005
cg26286901	0.780890773
cg17233090	0.462434556
cg16374999	0.654978018
cg00685614	0.553943973
cg16616521	0.071317896
cg16834823	0.46479271
cg12542255	0.65885786
cg06193597	0.564201604
cg04525002	0.470497605
cg14644001	0.483272896
cg06723863	0.103654768
cg15006175	0.390889612
cg05404698	0.116070924
cg09451427	0.251529847
cg22111078	0.473635121
cg26708319	0.301106068
cg11740348	0.832638511
cg16963144	0.15591842
cg23829024	0.139091279
cg20540209	0.084141517
cg02387803	0.503478463
cg00928596	0.458808136
cg18725867	0.243056188
cg05401764	0.170165374
cg16058493	0.364610328
cg07676361	0.364011195
cg23189410	0.521794984
cg09192940	0.750140246
cg07103846	0.876046275
cg00450784	0.126036813
cg24419324	0.282275337
cg22267770	0.247542293
cg15092343	0.684551625
cg11435506	0.288688834
cg04004561	0.58194079
cg03714619	0.474634546
cg19447962	0.289288289
cg21540621	0.540349582
cg26831119	0.332139942
cg24545961	0.398151637
cg14891209	0.470752256
cg00268840	0.117134054
cg06721601	0.857304963
cg23060646	0.236517307
cg26839512	0.470963663
cg15877520	0.227142706
cg06418871	0.583760029
cg03044684	0.366576182
cg03867465	0.638611101
cg06976250	0.123288968
cg09234454	0.847051295
cg12633154	0.51748447
cg10304637	0.380221489
cg23398076	0.33621422
cg19409060	0.249361431
cg23881926	0.363355744
cg23115390	0.496238923
cg21697851	0.225997846
cg10623600	0.326338645
cg07654934	0.200371884
cg07500347	0.322696865
cg04011338	0.688205911
cg11738485	0.562340864
cg13080565	0.579284822
cg00674679	0.461824098
